track_id,artists,track_name,track_genre,search_string,duration_ms,tempo,tempo_log,duration_minutes,tags_clean_text,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,lfm_playcount,lfm_listeners,log_playcount,log_listeners,log_plays_per_listener,plays_per_listener,tag_count
3nqQXoyQOWXiESFLlDF1hG,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),dance,"Unholy (feat. Kim Petras) - Sam Smith, Kim Petras",156943,131.121,4.8761205610080784,2.6157166666666667,pop hyperpop electropop electronic pop rap,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,0.238,10995250.0,920570.0,16.212974010268866,13.732749408674232,2.560629164569712,11.943958634324385,5
4uUG5RXrOk84mYEfFvj3cK,David Guetta;Bebe Rexha,I'm Good (Blue),dance,"I'm Good (Blue) - David Guetta, Bebe Rexha",175238,128.04,4.8523427151016625,2.9206333333333334,house electronic dance electro house 2022,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,0.304,7924612.0,758980.0,15.885484043727686,13.539732023126362,2.437215120349969,10.44113415373264,5
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,latin,La Bachata - Manuel Turizo,162637,124.98,4.828153724500936,2.7106166666666667,reggaeton latin pop latin pop latino bachata male vocalist colombian pop colombia colombian,0.583,0.835,0.679,1.98e-06,0.218,-5.329,0.0364,0.85,4325531.0,365331.0,15.280045696563873,12.808561808180292,2.5525678479030636,11.840032737435367,10
6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Me Porto Bonito,latin,"Me Porto Bonito - Bad Bunny, Chencho Corleone",178567,92.005,4.521842923398338,2.9761166666666665,bad bunny reggaeton fire latin chencho corleone,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0.0817,0.425,8928528.0,632558.0,16.004762213640024,13.357528775865855,2.7156846819177387,14.114955466534294,5
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,latin,Efecto - Bad Bunny,213061,98.047,4.585446955539899,3.5510166666666665,reggaeton latin,0.141,0.801,0.475,1.73e-05,0.0639,-8.797,0.0516,0.234,6119925.0,420681.0,15.627060562912138,12.949632482830138,2.7439102739562404,14.547662005177319,2
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,piano,I Ain't Worried - OneRepublic,148485,139.994,4.941599564548054,2.47475,pop pop rock electronic dance soundtracks,0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,0.825,9121289.0,882713.0,16.0261217994162,13.69075653131078,2.427740372459283,10.333244214144349,5
3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Ojitos Lindos,latin,"Ojitos Lindos - Bad Bunny, Bomba Estéreo",258298,79.928,4.381126229430717,4.304966666666667,latin summer reggaeton dancehall,0.08,0.647,0.686,1.34e-06,0.528,-5.745,0.0413,0.268,6868029.0,455900.0,15.74238786907383,13.030030959662605,2.776628724371818,15.064770783066463,4
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,latin,Moscow Mule - Bad Bunny,245939,99.968,4.604850134777166,4.098983333333333,reggaeton latin ambient psytrance indie,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,0.292,7983440.0,515167.0,15.89288007949221,13.152248340042021,2.8031664267516416,15.496800066774464,5
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,alt-rock,Sweater Weather - The Neighbourhood,240400,124.053,4.820708893642243,4.006666666666667,indie alternative chill summer can t stop listening,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,0.398,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
3JvKfv6T31zO0ini8iNItO,Tom Odell,Another Love,chill,Another Love - Tom Odell,244360,122.769,4.810304540847203,4.072666666666667,indie singer-songwriter british pop another love,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,0.131,14295830.700000325,1299728.2700000037,16.475478563228343,14.07766654689777,2.4848309727736084,10.999091910188492,5
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,dance,CUFF IT - Beyoncé,225388,115.042,4.745297279078916,3.756466666666667,funk disco pop nu-disco dance,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,0.642,14295830.700000325,913166.0,16.475478563228343,13.724674056322547,2.8127247376457123,15.655237601925965,5
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,latin,Neverita - Bad Bunny,173119,122.016,4.8041521836751535,2.8853166666666668,trap regueton latin reggaeton dance-pop,0.0706,0.876,0.498,0.0,0.143,-7.511,0.0478,0.428,5492419.0,390106.0,15.518879517818487,12.874176339450647,2.7133228734202874,14.07929895976991,5
0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth;Jung Kook;BTS,Left and Right (Feat. Jung Kook of BTS),dance,"Left and Right (Feat. Jung Kook of BTS) - Charlie Puth, Jung Kook, BTS",154486,101.058,4.615694609444304,2.5747666666666666,pop jungkook 2022 catchy bts,0.619,0.881,0.592,1.32e-05,0.0901,-4.898,0.0324,0.719,14295830.700000325,585017.0,16.475478563228343,13.2793978949714,3.2361893692117616,24.436607312266695,5
4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,dance,Super Freaky Girl - Nicki Minaj,170977,133.01,4.890424313365204,2.8496166666666665,rap hip-hop 2020 2022 mother,0.0645,0.95,0.891,1.77e-05,0.309,-2.653,0.241,0.912,10418381.0,792007.0,16.15908230392163,13.58232677175565,2.650025897261633,13.154405200964133,5
0WtM2NBVQNNJLh6scP13H8,Rema;Selena Gomez,Calm Down (with Selena Gomez),pop,"Calm Down (with Selena Gomez) - Rema, Selena Gomez",239317,106.999,4.672819488623841,3.9886166666666667,olivia is awesome olivia afrobeat remix contemporary rnb,0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,0.802,6043551.0,608964.0,15.614502476530228,13.31951607377613,2.3909911049785895,9.924315723096932,5
3F5CgOj3wFlRv51JsHbxhe,Drake;21 Savage,Jimmy Cooks (feat. 21 Savage),hip-hop,"Jimmy Cooks (feat. 21 Savage) - Drake, 21 Savage",218364,165.921,5.111511771464019,3.6394,pop rap trap 2022 drake 21 savage,0.000307,0.529,0.673,2.41e-06,0.093,-4.711,0.175,0.366,14295830.700000325,974820.0,16.475478563228343,13.790009143381734,2.75143517170168,14.665097864221421,5
79HZAZNnOE97rb2hnI0XQr,Rauw Alejandro;Lyanno;Brray,LOKERA,latin,"LOKERA - Rauw Alejandro, Lyanno, Brray",195294,102.019,4.625159070447133,3.2549,reggaeton,0.21,0.834,0.828,5.91e-06,0.103,-2.657,0.0452,0.58,3769587.0,296082.0,15.142476269632652,12.598395099405355,2.6196971411003958,12.7315642288285,1
41oY4WCTj5kccfesTVFnvN,Bad Bunny;Jhayco,Tarot,latin,"Tarot - Bad Bunny, Jhayco",237894,114.011,4.736294934967587,3.9649,reggaeton latin furry roblox didnt go to college for a free throw,0.0225,0.795,0.684,0.0,0.658,-3.971,0.0419,0.419,4814754.0,325609.0,15.387195719261438,12.693455625169614,2.7591817034996344,14.78691928048672,5
6i1g5ZRmJZAkDwBaUZ3f2i,Luar La L,Caile,latin,Caile - Luar La L,141340,121.737,4.801862980081019,2.3556666666666666,reggaeton latin trap puerto rico,0.298,0.704,0.756,3.75e-06,0.0852,-4.948,0.448,0.461,629062.0,70364.0,13.351986689649513,11.161451259430669,2.296578229922843,8.940111420612814,4
0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),dance,Vegas (From the Original Motion Picture Soundtrack ELVIS) - Doja Cat,182906,159.969,5.074980046461871,3.0484333333333336,2022 rap hip-hop movie,0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,0.74,6318288.0,633203.0,15.65895900162154,13.358547924088434,2.3959203820889807,9.97829763914574,4
4zN21mbAuaD0WqtmaTZZeP,James Hype;Miggy Dela Rosa,Ferrari,dance,"Ferrari - James Hype, Miggy Dela Rosa",186661,125.004,4.828345736790312,3.1110166666666665,british electronic c house edm uk dance future house england,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,0.692,2625258.0,328450.0,14.780690115807293,12.702142942919425,2.196431989848677,7.992869538742579,9
